2022/12/03/03:53:11:700 [DEBUG] Unity: ;LOGLINE;   
2022/12/03/03:58:48:389 [DEBUG] Unity: ;LOGLINE;================================================================================
2022/12/03/03:58:48:390 [DEBUG] Unity: ;LOGLINE;VERSION;Handshake3
2022/12/03/03:58:48:392 [DEBUG] Unity: ;LOGLINE;   
2022/12/03/03:59:47:881 [DEBUG] Unity: ;LOGLINE;Avatar;TimeFromCanvasAppearing;,599;s
2022/12/03/03:59:51:446 [DEBUG] Unity: ;LOGLINE;Avatar;TimeFromCanvasAppearing;,543;s
2022/12/03/04:00:09:349 [DEBUG] Unity: ;LOGLINE;Avatar;TimeFromCanvasAppearing;,098;s
2022/12/03/04:00:29:481 [DEBUG] Unity: ;LOGLINE;Avatar;TimeFromCanvasAppearing;1,310;s
2022/12/03/04:00:32:724 [DEBUG] Unity: ;LOGLINE;Avatar;TimeFromCanvasAppearing;,028;s
2022/12/03/04:01:09:368 [DEBUG] Unity: ;LOGLINE;================================================================================
2022/12/03/04:01:09:369 [DEBUG] Unity: ;LOGLINE;VERSION;StartMenu
2022/12/03/04:01:09:370 [DEBUG] Unity: ;LOGLINE;   
2022/12/03/04:01:09:379 [DEBUG] Unity: ;LOGLINE;VERSION; Handshake 1
2022/12/03/04:01:09:380 [DEBUG] Unity: ;LOGLINE;Interactions started from experimenter count; 7
2022/12/03/04:01:09:382 [DEBUG] Unity: ;LOGLINE;Interactions started from Mayor count; 1
2022/12/03/04:01:09:384 [DEBUG] Unity: ;LOGLINE;Interactions started from Waitress count; 0
2022/12/03/04:01:09:385 [DEBUG] Unity: ;LOGLINE;Interactions started from Tester count; 4
2022/12/03/04:01:09:386 [DEBUG] Unity: ;LOGLINE;Finished interactions with experimenter count; 3
2022/12/03/04:01:09:388 [DEBUG] Unity: ;LOGLINE;Finished interactions with Mayor count; 0
2022/12/03/04:01:09:389 [DEBUG] Unity: ;LOGLINE;Finished interactions with Waitress count; 0
2022/12/03/04:01:09:391 [DEBUG] Unity: ;LOGLINE;Time in Handshake 1;2232,244; s
2022/12/03/04:01:09:392 [DEBUG] Unity: ;LOGLINE;   
2022/12/03/04:01:09:393 [DEBUG] Unity: ;LOGLINE;VERSION; Handshake 2
2022/12/03/04:01:09:394 [DEBUG] Unity: ;LOGLINE;Interactions started from experimenter count; 0
2022/12/03/04:01:09:396 [DEBUG] Unity: ;LOGLINE;Interactions started from Mayor count; 0
2022/12/03/04:01:09:397 [DEBUG] Unity: ;LOGLINE;Interactions started from Waitress count; 0
2022/12/03/04:01:09:399 [DEBUG] Unity: ;LOGLINE;Interactions started from Tester count; 0
2022/12/03/04:01:09:400 [DEBUG] Unity: ;LOGLINE;Finished interactions with experimenter count; 0
2022/12/03/04:01:09:401 [DEBUG] Unity: ;LOGLINE;Finished interactions with Mayor count; 0
2022/12/03/04:01:09:403 [DEBUG] Unity: ;LOGLINE;Finished interactions with Waitress count; 0
2022/12/03/04:01:09:404 [DEBUG] Unity: ;LOGLINE;Time in Handshake 2;63805676468,364; s
2022/12/03/04:01:09:406 [DEBUG] Unity: ;LOGLINE;   
2022/12/03/04:01:09:407 [DEBUG] Unity: ;LOGLINE;VERSION; Handshake 3
2022/12/03/04:01:09:409 [DEBUG] Unity: ;LOGLINE;Interactions started from experimenter count; 8
2022/12/03/04:01:09:410 [DEBUG] Unity: ;LOGLINE;Interactions started from Mayor count; 0
2022/12/03/04:01:09:411 [DEBUG] Unity: ;LOGLINE;Interactions started from Waitress count; 0
2022/12/03/04:01:09:413 [DEBUG] Unity: ;LOGLINE;Interactions started from Tester count; 11
2022/12/03/04:01:09:414 [DEBUG] Unity: ;LOGLINE;Finished interactions with experimenter count; 5
2022/12/03/04:01:09:415 [DEBUG] Unity: ;LOGLINE;Finished interactions with Mayor count; 0
2022/12/03/04:01:09:416 [DEBUG] Unity: ;LOGLINE;Finished interactions with Waitress count; 0
